gesture;ch0;ch1;ch2;ch3
hand_open;2157;2127;2343;1983
hand_open;2143;2079;2335;1701
hand_open;2623;2048;2357;2056
hand_open;2096;2135;1944;2139
hand_open;2127;2095;2305;2208
hand_open;2167;2107;2308;2152
hand_open;2159;2141;2335;2207
hand_open;2064;2064;2367;2251
hand_open;2092;2048;2231;2205
hand_open;2082;2143;2312;2299
hand_open;2195;2581;2336;2101
hand_open;2167;2131;2380;1455
hand_open;2015;2273;1919;2185
hand_open;2080;2108;2327;2225
hand_open;2097;2135;2330;1957
hand_open;2112;2131;2277;1451
hand_open;2096;2124;1772;2133
hand_open;2074;2103;1552;1964
hand_open;2119;2115;2311;945
hand_open;2135;2066;2343;2072
hand_open;2080;2223;1988;2052
hand_open;2141;2034;2268;2082
hand_open;2064;2123;1688;2224
hand_open;2159;2104;2349;2095
hand_open;2072;2240;2335;2292
hand_open;2104;2099;2356;2352
hand_open;2081;2148;2355;2027
hand_open;2126;2080;2088;2324
hand_open;2057;2063;1728;1656
hand_open;2020;2100;544;1346
hand_open;2069;2128;2303;2175
hand_open;2111;2103;2311;2189
hand_open;2133;2158;2079;2095
hand_open;2123;2128;2375;2212
hand_open;2159;2039;2271;2023
hand_open;2175;2791;2027;1185
hand_open;2079;2067;2327;2179
hand_open;2102;2024;2284;2311
hand_open;2065;2065;2367;2119
hand_open;2111;2064;2304;2104
hand_open;2127;2084;2306;2112
hand_open;2127;2251;2145;2127
hand_open;2097;2084;2351;2322
hand_open;2076;2048;2176;2314
hand_open;2155;2818;2411;1867
hand_open;2056;2087;2379;2152
hand_open;2087;2111;2284;2178
hand_open;2119;2112;2247;1887
hand_open;2077;2064;2280;2303
hand_open;2105;2127;2343;1946
hand_open;2139;2111;2280;1983
hand_open;2096;2103;2201;2335
hand_open;2050;2106;2343;1860
hand_open;2100;2107;2304;1968
hand_open;2095;2064;2304;2336
hand_open;2076;2111;1860;2249
hand_open;2088;2143;2292;2162
hand_open;2128;2383;2319;2317
hand_open;2064;2059;2248;2118
hand_open;2101;2146;2361;2336
hand_open;1996;2106;2317;2082
hand_open;2111;2065;2345;2118
hand_open;2101;2094;2321;2255
hand_open;2139;2144;2353;2235
hand_open;2059;2074;2291;2235
hand_open;2089;2092;2276;2066
hand_open;2111;2088;2368;2147
hand_open;2074;2107;2256;2083
hand_open;2159;2136;2253;2007
hand_open;1937;2365;2308;2263
hand_open;2106;2139;1752;2223
hand_open;2114;2119;2351;2206
hand_open;2080;2079;2343;2256
hand_open;2072;2295;1275;2215
hand_open;2082;2092;2279;2309
hand_open;2095;2127;2324;2222
hand_open;2151;2136;2336;2075
hand_open;2087;2407;2287;2277
hand_open;2077;2016;2395;2293
hand_open;2111;2112;2341;2095
hand_open;2089;2100;2312;2197
hand_open;2072;2048;2327;2319
hand_open;2080;2159;2260;1920
hand_open;2123;2072;2368;2319
hand_open;2073;2052;2228;2089
hand_open;2096;2122;2319;2340
hand_open;2135;2106;2266;2218
hand_open;2088;2026;2344;2208
hand_open;2103;2106;2315;2123
hand_open;2127;2379;2231;2157
hand_open;2068;2040;2324;2099
hand_open;2101;2144;2277;2251
hand_open;2104;2211;2363;2312
hand_open;2071;2032;2252;2239
hand_open;2096;2151;2343;2063
hand_open;2151;2024;2391;2056
hand_open;2092;2072;2313;1962
hand_open;2069;2097;607;2123
hand_open;2074;2097;868;2326
hand_open;2100;2080;2331;2072
hand_open;2103;2143;2276;2161
hand_open;2085;2058;2306;2233
hand_open;2144;2388;269;2110
hand_open;2075;2380;1267;2233
hand_open;2079;2148;1716;2353
hand_open;2096;2107;2390;2129
hand_open;2118;2262;2421;2117
hand_open;2088;2259;2394;2245
hand_open;2155;2127;2399;2048
hand_open;1999;2139;1703;2115
hand_open;2143;2221;2371;2277
hand_open;2409;2057;2441;2191
hand_open;2067;2335;1160;2271
hand_open;2124;2144;2515;2321
hand_open;2082;2125;2475;1520
hand_open;2096;2128;2434;2192
hand_open;2089;2303;2459;2177
hand_open;2079;2230;1817;2226
hand_open;2097;2139;331;1855
hand_open;2092;2190;2357;2336
hand_open;2094;2155;2345;2355
hand_open;2028;2143;2384;2232
hand_open;2175;2052;2391;2332
hand_open;2058;2118;851;2133
hand_open;2088;2128;2080;2285
hand_open;2079;2133;2389;2195
hand_open;2099;2053;2355;2330
hand_open;2096;2133;2267;1991
hand_open;2135;2060;2355;2150
hand_open;2040;2036;1264;1679
hand_open;2065;2229;687;2215
hand_open;2073;2363;2299;2233
hand_open;2105;2137;2368;2169
hand_open;2131;2136;1651;2372
hand_open;2088;2159;2288;2393
hand_open;2095;2039;2084;1948
hand_open;2135;2175;1599;1288
hand_open;2080;2052;2395;2137
hand_open;2074;2107;2335;2112
hand_open;2159;2120;2331;2267
hand_open;2100;2275;2353;2179
hand_open;2128;2083;2295;2195
hand_open;2125;2054;1795;2233
hand_open;2093;2093;2257;2155
hand_open;2160;2079;2289;2113
hand_open;2141;2047;2376;2125
hand_open;2064;2079;2345;2319
hand_open;2101;2131;2345;1952
hand_open;2120;2090;2335;2356
hand_open;2136;2063;2345;2214
hand_open;2132;2059;2331;2037
hand_open;2120;2151;2193;891
hand_open;2159;2079;2319;2321
hand_open;2123;2077;2132;2365
hand_open;2119;2157;2361;2329
hand_open;2112;2093;2313;1387
hand_open;2111;2141;2327;2184
hand_open;2088;2141;2357;1311
hand_open;2095;2058;2363;1873
hand_open;2115;2067;2319;2071
hand_open;2109;2140;2287;2218
hand_open;2094;2456;2339;2241
hand_open;2091;2079;2327;2301
hand_open;2083;2125;2337;2315
hand_open;2121;2117;2363;2074
hand_open;2118;2105;2341;2075
hand_open;2117;2101;2369;2070
hand_open;2086;2106;2345;2330
hand_open;2089;2127;2230;2381
hand_open;1964;2169;2347;2179
hand_open;2077;2091;2329;2007
hand_open;2117;2329;2329;2121
hand_open;2113;2069;2307;2214
hand_open;2112;2143;389;2087
hand_open;2119;2132;651;2260
hand_open;2129;2161;2277;1973
hand_open;2095;2060;117;2116
hand_open;2117;2413;0;2083
hand_open;2147;2129;833;2127
hand_open;2093;2105;2335;2199
hand_open;2107;2117;2357;2138
hand_open;2087;2109;2333;2323
hand_open;2111;2103;2314;2301
hand_open;2111;2309;1677;2132
hand_open;2095;2191;1359;2415
hand_open;2108;2145;2368;2162
hand_open;2011;2173;399;2313
hand_open;2088;2095;2288;1455
hand_open;2084;2078;2309;2136
hand_open;2103;2100;587;1846
hand_open;2099;2073;2338;2192
hand_open;2119;2085;2302;2267
hand_open;2111;2290;2067;2010
hand_open;2113;2406;2367;2039
hand_open;2085;2015;2319;2298
hand_open;2119;2078;2338;2277
hand_open;2079;2061;2348;2249
hand_open;2097;2155;2360;2285
hand_open;2117;2304;2319;2347
hand_open;2080;2056;2239;2087
hand_open;2127;2079;1664;2281
hand_open;2109;2124;2287;2002
hand_open;2151;2012;2304;2240
hand_open;2092;2188;403;2388
hand_open;2104;2143;2397;2291
hand_open;2093;2097;555;2203
hand_open;2083;2093;538;2117
hand_open;2131;2068;2367;2175
hand_open;2069;2271;2383;2187
hand_open;2157;2035;2343;2128
hand_open;2076;2047;0;1923
hand_open;2523;2312;1627;2256
hand_open;2143;2087;2347;2338
hand_open;2143;2249;1149;2303
hand_open;2083;2199;2327;2212
hand_open;2076;2143;2196;2143
hand_open;2088;2208;315;1617
hand_open;2095;2119;2332;2387
hand_open;2091;2407;329;2119
hand_open;2151;2225;2388;2105
hand_open;2107;2073;2394;2063
hand_open;2103;2128;2311;2168
hand_open;2117;2103;2341;2009
hand_open;2119;2185;919;2057
hand_open;2021;2319;2372;2215
hand_open;2112;2138;2288;1307
hand_open;2112;2111;264;1960
hand_open;2100;2167;2281;2232
hand_open;2084;2128;2328;2171
hand_open;2077;2084;319;2128
hand_open;2135;2356;1732;2303
hand_open;2155;2187;2332;1387
hand_open;2155;2099;2336;2239
hand_open;2084;2135;991;2011
hand_open;2069;2112;1887;2061
hand_open;2145;2157;2263;2394
hand_open;2054;2006;2339;1807
hand_open;2071;2125;2371;2023
hand_open;2122;2105;2367;2207
hand_open;2153;2129;1371;2198
hand_open;2133;2072;287;1296
hand_open;2167;2159;1807;2151
hand_open;2139;2072;1985;2198
hand_open;2151;2581;2270;1739
hand_open;2131;2125;2320;2319
hand_open;2064;2138;2269;2303
hand_open;2091;2037;2384;2248
hand_open;2143;2151;2304;2016
hand_open;2104;2151;1672;1464
hand_open;2088;2048;2359;2180
hand_open;2057;2071;527;2195
hand_open;2087;2079;2267;2265
hand_open;2087;2100;2347;2063
hand_open;2104;2017;345;2239
hand_open;2115;2171;2338;2264
hand_open;2111;2113;2317;2261
hand_open;2127;2329;2321;2136
hand_open;2112;2102;2308;2120
hand_open;2078;2217;2341;2320
hand_open;2139;2294;1807;2457
hand_open;2080;2119;2324;2047
hand_open;2164;2271;1496;2143
hand_open;2123;2061;1917;2383
hand_open;2105;2091;2353;1325
hand_open;2082;2095;2318;2210
hand_open;2088;2117;2308;2100
hand_open;2065;2076;2260;2291
hand_open;2151;2060;2356;2168
hand_open;2080;2079;2241;441
hand_open;2116;2122;1703;1849
hand_open;2088;2071;2352;1616
hand_open;2120;2167;2304;1267
hand_open;2105;2223;1779;2230
hand_open;2127;2094;2316;2129
hand_open;2088;2129;2339;2162
hand_open;2134;2315;2299;2212
hand_open;2106;2098;2347;2131
hand_open;2111;2077;2295;2315
hand_open;2066;2115;904;2175
hand_open;2113;2173;2272;2205
hand_open;2068;2183;2389;2120
hand_open;2133;2135;2304;2199
hand_open;2098;2208;2221;2216
hand_open;2096;2080;2324;1163
hand_open;2112;2104;2287;1791
hand_open;2143;2063;2171;2243
hand_open;2093;2074;405;2056
hand_open;2072;2060;2353;2063
hand_open;2077;2082;2176;2266
hand_open;2135;2109;2344;1951
hand_open;2083;2080;855;2256
hand_open;2064;2096;2292;2107
hand_open;2111;2106;2148;2255
hand_open;2089;2088;1817;2381
hand_open;2179;2162;2380;2213
hand_open;2121;2159;2319;2215
hand_open;2072;2111;2369;2207
hand_open;2084;2048;2367;1968
hand_open;2123;2361;2358;2361
hand_open;2127;2079;2315;2175
hand_open;2093;2021;2351;2167
hand_open;2093;2048;1968;2317
hand_open;2111;2143;2317;2137
hand_open;2123;2211;2332;2230
hand_open;2055;2112;2251;2123
hand_open;2092;2103;2347;2235
hand_open;2139;2129;2333;1549
hand_open;2111;2077;2185;2203
hand_open;2126;2140;2319;2293
hand_open;2117;2203;2063;2139
hand_open;2111;2139;2377;2097
hand_open;2089;2709;2342;2369
hand_open;2075;2028;2329;2365
hand_open;2111;2127;2375;2238
hand_open;2103;2065;2329;2225
hand_open;2119;2135;2313;2157
hand_open;2109;2123;1935;1785
hand_open;2117;2079;1547;2052
hand_open;2095;2142;1011;2013
hand_open;2155;2350;2322;1968
hand_open;2151;2032;2096;2125
hand_open;2048;2391;223;1173
hand_open;2092;2119;2371;2234
hand_open;2091;2056;2318;2079
hand_open;2087;2134;2332;2167
hand_open;2167;2111;2331;2224
hand_open;2107;2120;2346;1327
hand_open;2088;2012;0;2357
hand_open;2048;2151;2328;2165
hand_open;2102;2096;2357;2121
hand_open;2124;2082;2347;2124
hand_open;2144;2256;2329;2323
hand_open;2093;2141;2309;2246
hand_open;2057;2125;2274;2111
hand_open;2101;2033;2345;1531
hand_open;2121;2073;2253;2213
hand_open;2139;2064;2315;2086
hand_open;2073;2281;2341;2064
hand_open;2068;2127;2347;2100
hand_open;2105;2124;2348;2115
hand_open;2109;2085;2331;2250
hand_open;2157;2309;2335;2161
hand_open;2107;2143;2295;2381
hand_open;2057;2039;2226;2233
hand_open;2123;2175;2362;1694
hand_open;2072;2121;2257;2304
hand_open;2085;2103;2370;2160
hand_open;2088;2240;2312;2152
hand_open;2121;2119;2276;2096
hand_open;2092;2050;2112;2195
hand_open;2066;2131;1848;1988
hand_open;2064;2232;2275;2368
hand_open;2157;2184;2305;2088
hand_open;2112;2191;2208;2229
hand_open;2099;2188;2329;2242
hand_open;2100;2054;2335;2143
hand_open;2104;2115;2318;2227
hand_open;2042;2037;2359;1829
hand_open;2074;2120;2359;1695
hand_open;2118;2159;511;2010
hand_open;2138;2143;2064;2185
hand_open;2053;2060;1898;2167
hand_open;2090;2063;2315;2299
hand_open;2151;2287;1040;2142
hand_open;2093;2123;2347;2233
hand_open;2120;2100;2391;2112
hand_open;2111;2068;2290;2322
hand_open;2092;2095;2359;1975
hand_open;2124;2207;2308;695
hand_open;2088;2024;2379;2171
hand_open;2139;2112;1777;2048
hand_open;2123;2118;2327;2185
hand_open;2111;2089;2312;2171
hand_open;2101;2088;2303;2104
hand_open;2056;2147;2304;2288
hand_open;2141;2079;2340;2308
hand_open;2084;2175;2079;1442
hand_open;2092;2048;2314;2368
hand_open;2096;2111;2381;2179
hand_open;2074;2072;2283;2239
hand_open;2101;2175;2316;2080
hand_open;2092;2112;2303;2234
hand_open;2103;2366;2347;2225
hand_open;2065;2067;2264;2168
hand_open;2099;2239;1933;2111
hand_open;2113;2061;2255;2127
hand_open;2139;2093;2306;2050
hand_open;2096;2148;2324;2024
hand_open;2084;2133;2325;2219
hand_open;2115;2117;2327;2215
hand_open;2105;2081;2293;1236
hand_open;2112;2089;1745;2053
hand_open;2095;2320;2273;2330
hand_open;2063;2004;2279;2072
hand_open;2155;2289;2405;2023
hand_open;2033;2084;2315;2279
hand_open;2143;2080;2355;2008
hand_open;2112;2067;2279;2211
hand_open;2103;2143;2367;2232
hand_open;2092;2056;2330;2251
hand_open;2056;2152;2256;2091
hand_open;2100;2107;2182;1915
hand_open;2183;2789;2248;2047
hand_open;2123;2108;2296;2312
hand_open;2107;2327;1784;2303
hand_open;2108;2143;2314;2264
hand_open;2099;2052;2112;2288
hand_open;2111;2251;1851;2212
hand_open;2191;2111;2350;2341
hand_open;2080;2319;2344;1944
hand_open;2152;2128;2354;1959
hand_open;2095;2064;2447;2180
hand_open;2116;2048;2121;2363
hand_open;2093;2363;2336;2096
hand_open;2143;2156;2308;2175
hand_open;2068;2117;2353;2309
hand_open;2081;2244;1746;2375
hand_open;2098;2063;2368;2015
hand_open;2155;2239;2224;2256
hand_open;2139;2120;2261;1472
hand_open;2097;2057;2372;2015
hand_open;2107;2153;1335;2241
hand_open;2113;2105;2377;2181
hand_open;2125;2342;231;2143
hand_open;2096;2266;2338;2227
