## File generated by myo_cap software 
## Available from github.com/ddantas/leap_cap 
## Timestamp: 2022-05-05_15-24-41 
##  
## EMG capture settings 
##  
# sampleRate: 1000 
# channelsPerBoard: 4 
# nBoards: 1 
# bitsPerSample: 12 
# swipe: 2000 
# vTick: 0.5 
# hTick: 200 
# vMin: 0.0 
# vMax: 3.3 
##  
## EMG emulation settings 
##  
# emulationFlag: true 
# emulationData: 2018-05-04_14-39-15.csv 
##  
## EMG communication settings 
##  
# baudrate: 921600 
# pktSize: 48 
# pktComp: 1 
##  
## EMG function generator settings 
##  
# funcGenFreq: 4 
# stressTime: 8 
##  
## Gesture capture settings 
##  
# device: None 
# routine: 03_hand_curl.csv 
# hand: Right 
##  
## Data 
gesture;ch0;ch1;ch2;ch3
hand_open;2111;2210;2399;2279
hand_open;2092;2560;2116;2351
hand_open;2115;2176;2327;2357
hand_open;2111;2056;2316;2210
hand_open;2104;2175;2343;2112
hand_open;2135;2119;1724;2199
hand_open;2112;2080;2301;2320
hand_open;2092;2136;2304;2024
hand_open;2115;2095;2276;2096
hand_open;2104;2016;1220;2329
hand_open;2064;2147;2336;2288
hand_open;2140;2096;2375;2200
hand_open;2175;2088;2343;2331
hand_open;2088;2224;2328;2080
hand_open;2157;2143;2407;2095
hand_open;2131;2260;2292;2367
hand_open;2106;2107;2313;2421
hand_open;2133;2158;525;1083
hand_open;2121;2119;2169;2217
hand_open;2096;2088;2370;2218
hand_open;2113;2153;1572;1907
hand_open;2139;2159;2347;2143
hand_open;2094;2140;2348;2268
hand_open;2115;2139;2335;2089
hand_open;2009;2133;2271;2376
hand_open;2141;2061;2169;2205
hand_open;2141;2137;2363;1426
hand_open;2139;2076;2313;2081
hand_open;2129;2157;2305;2131
hand_open;2124;2117;2319;2217
hand_open;2128;2121;2353;2236
hand_open;2139;2125;2359;1229
hand_open;2132;2075;224;2401
hand_open;2096;2121;1799;2074
hand_open;1831;2157;2213;2132
hand_open;2115;2104;2347;2187
hand_open;2112;2109;2363;2153
hand_open;2151;2070;2375;2133
hand_open;2131;2116;2335;2251
hand_open;2068;2152;2308;1357
hand_open;2082;2083;2261;2157
hand_open;2110;2171;2351;1911
hand_open;2293;2161;2187;2351
hand_open;2113;2085;2296;2220
hand_open;2117;2132;1977;2187
hand_open;2120;2223;2363;2208
hand_open;2088;2064;2316;2128
