## File generated by myo_cap software 
## Available from github.com/ddantas/leap_cap 
## Timestamp: 2022-05-05_15-43-03 
##  
## EMG capture settings 
##  
# sampleRate: 1000 
# channelsPerBoard: 4 
# nBoards: 1 
# bitsPerSample: 12 
# swipe: 2000 
# vTick: 0.5 
# hTick: 200 
# vMin: 0.0 
# vMax: 3.3 
##  
## EMG emulation settings 
##  
# emulationFlag: true 
# emulationData: 2018-05-04_14-39-15.csv 
##  
## EMG communication settings 
##  
# baudrate: 921600 
# pktSize: 48 
# pktComp: 1 
##  
## EMG function generator settings 
##  
# funcGenFreq: 4 
# stressTime: 8 
##  
## Gesture capture settings 
##  
# device: None 
# routine: 11_fingers_close.csv 
# hand: Right 
##  
## Data 
gesture;ch0;ch1;ch2;ch3
hand_open;2365;2143;2308;2168
hand_open;2082;2048;2360;2256
hand_open;2109;2103;2336;2136
hand_open;2118;2122;2352;2056
hand_open;2092;2136;2303;2368
hand_open;2052;2056;2282;2192
hand_open;2084;2066;2321;1631
hand_open;2064;2048;2328;2288
hand_open;2216;2108;2364;2228
hand_open;2143;2125;2318;2128
hand_open;2048;2024;2308;2284
hand_open;2239;2112;1863;2303
hand_open;2052;2383;2303;2032
hand_open;2136;2096;2228;1952
hand_open;2271;2303;2356;1576
hand_open;2032;2111;2316;2064
hand_open;2020;2159;2344;2218
hand_open;2096;2080;2399;2280
hand_open;2118;2175;2088;2091
hand_open;2068;2082;2312;2288
hand_open;2078;2138;2292;1926
hand_open;2088;2215;2240;2248
hand_open;2084;2095;2419;2280
hand_open;2088;2090;2411;2385
hand_open;2129;2064;2327;1910
hand_open;2064;2102;2318;2091
hand_open;2084;2118;2312;2092
hand_open;2111;2108;2316;2345
hand_open;2236;2071;2303;2144
hand_open;2712;2039;2204;1968
hand_open;2157;2188;2407;2303
hand_open;2162;2004;2367;2256
hand_open;2112;2072;2385;2132
hand_open;2068;2083;2388;2144
hand_open;2048;2111;2343;1305
hand_open;2052;2046;2264;2240
hand_open;2107;2080;1732;1946
hand_open;2095;2255;2262;1924
hand_open;2080;2016;296;2116
hand_open;2076;2040;2298;2368
hand_open;2018;2099;2413;2260
hand_open;2072;2132;1819;2120
hand_open;2048;2072;2320;2272
hand_open;2064;2048;2298;2170
hand_open;2314;2400;1712;2315
hand_open;2069;2111;2248;2153
hand_open;2815;2700;2104;2120
hand_open;2052;2016;2344;2269
hand_open;2143;2124;320;2235
hand_open;2032;2072;2320;2064
hand_open;2276;2080;2315;1231
hand_open;2080;2116;2336;1568
hand_open;2114;2183;2367;2250
hand_open;2068;2120;1184;2456
hand_open;2080;2088;255;1889
hand_open;2391;2191;2335;2247
hand_open;2111;2312;2352;2136
hand_open;2088;2352;1167;2120
hand_open;2072;2080;2328;2210
hand_open;2045;2048;2383;2367
hand_open;2208;2072;2320;2100
hand_open;2048;2072;2262;1948
hand_open;2096;2207;2368;2280
hand_open;2056;2096;2276;2364
hand_open;2018;2144;72;2415
hand_open;2123;2095;2111;2344
hand_open;2048;2068;2375;2207
hand_open;2109;2084;2335;2205
hand_open;2287;2168;2379;2304
hand_open;2028;2118;2060;2127
hand_open;2125;2096;2323;1055
hand_open;2056;2110;360;2008
hand_open;2303;2382;2351;1930
hand_open;2094;2048;2344;2096
hand_open;2048;2096;1130;2349
hand_open;2078;2323;2095;2313
hand_open;2103;2072;2263;2359
hand_open;2047;2044;2240;2176
hand_open;2056;2120;2367;2235
hand_open;2151;2184;2343;808
hand_open;2056;2168;2304;1704
hand_open;2008;2276;720;2120
hand_open;2048;2048;2352;2152
hand_open;2040;2399;1999;2288
hand_open;2052;2076;2399;2324
hand_open;2048;2262;2415;2196
hand_open;2075;2160;1812;2240
hand_open;2076;2303;2176;2276
hand_open;2512;2422;2403;2288
hand_open;2316;2423;1092;2056
hand_open;2068;2455;2079;2074
hand_open;2074;2391;2296;2304
hand_open;2075;2080;2399;1211
hand_open;2159;2171;2407;2279
hand_open;2143;2211;816;1032
hand_open;2096;2044;503;2381
hand_open;2175;2144;2302;2104
hand_open;2175;2144;224;2184
hand_open;2036;2483;280;1280
hand_open;2176;2064;2286;2248
hand_open;2111;2052;2320;2104
hand_open;2064;2053;2356;2138
hand_open;2048;2048;2296;2146
hand_open;2204;2082;2431;1995
hand_open;2088;2399;2232;2212
hand_open;2024;2072;2304;2080
hand_open;2357;2095;2367;2427
hand_open;2080;2080;2272;2240
hand_open;2056;2472;2324;2151
hand_open;2160;2466;2336;2096
hand_open;2056;2095;1808;2543
hand_open;2168;2116;2360;2407
hand_open;2064;1988;2343;2112
hand_open;2104;2247;2420;1924
hand_open;2048;2048;268;2235
hand_open;2087;2123;2203;2200
hand_open;2048;2096;2376;2137
hand_open;2080;2120;2352;2328
hand_open;2127;2442;2376;1636
hand_open;2186;2082;2431;2315
hand_open;2096;2306;2352;1920
hand_open;2082;2112;2292;1426
hand_open;2016;2088;2421;2389
hand_open;2143;2191;2071;2264
hand_open;2096;2127;2423;2000
hand_open;2080;2113;2008;2098
hand_open;2092;2431;2368;2160
hand_open;2064;2072;2408;2320
hand_open;2132;2107;2350;1952
hand_open;2048;2048;1826;2048
hand_open;2155;2304;2368;2328
hand_open;2101;2342;2340;2399
hand_open;2060;2436;2369;2212
hand_open;2158;2108;2388;2219
hand_open;2111;2175;2367;2128
hand_open;2056;2116;1728;2417
hand_open;2135;2111;2483;2152
hand_open;2072;2120;2386;1930
hand_open;2200;2096;820;2067
hand_open;2207;2136;1855;2377
hand_open;2100;2072;1769;2286
hand_open;2094;2143;2260;2215
hand_open;2119;2127;2443;2323
