## File generated by myo_cap software 
## Available from github.com/ddantas/leap_cap 
## Timestamp: 2022-05-05_15-56-25 
##  
## EMG capture settings 
##  
# sampleRate: 1000 
# channelsPerBoard: 4 
# nBoards: 1 
# bitsPerSample: 12 
# swipe: 2000 
# vTick: 0.5 
# hTick: 200 
# vMin: 0.0 
# vMax: 3.3 
##  
## EMG emulation settings 
##  
# emulationFlag: true 
# emulationData: 2018-05-04_14-39-15.csv 
##  
## EMG communication settings 
##  
# baudrate: 921600 
# pktSize: 48 
# pktComp: 1 
##  
## EMG function generator settings 
##  
# funcGenFreq: 4 
# stressTime: 8 
##  
## Gesture capture settings 
##  
# device: None 
# routine: 12_fingers_flex.csv 
# hand: Right 
##  
## Data 
gesture;ch0;ch1;ch2;ch3
hand_open;2224;2203;304;2239
hand_open;2006;2167;2290;2136
hand_open;2026;2088;2361;2104
hand_open;2070;2127;2296;2240
hand_open;2016;2090;2330;2144
hand_open;2130;2320;200;2096
hand_open;2048;2136;2257;2016
hand_open;2088;2049;2083;2383
hand_open;2075;2191;2306;2303
hand_open;2023;2114;2335;2090
hand_open;1976;2132;2276;2164
hand_open;1992;2072;2335;2355
hand_open;2043;2167;1685;2204
hand_open;2018;2048;1408;2306
hand_open;2009;2056;2351;2154
hand_open;2348;2171;2431;943
hand_open;2111;2775;137;2432
hand_open;2816;2080;2335;2143
hand_open;2028;2096;2296;2287
hand_open;2000;2060;2322;2252
hand_open;1995;2143;2399;2195
hand_open;2280;2140;2304;2188
hand_open;1976;2162;2328;2360
hand_open;1996;2128;2343;2431
hand_open;2006;2119;2144;2427
hand_open;2050;2147;0;1776
hand_open;2335;2048;2344;2072
hand_open;2004;2092;96;1199
hand_open;2024;2064;2332;2058
hand_open;2000;2112;2368;1631
hand_open;2079;2135;359;2155
hand_open;2240;2056;1224;2112
hand_open;2048;2088;2312;2112
hand_open;2048;2076;1983;1611
hand_open;2000;2115;2415;2318
hand_open;2087;2124;2415;2265
hand_open;2655;2024;2324;2180
hand_open;2016;2088;2340;2159
hand_open;2000;2048;2344;2215
hand_open;2752;2092;1304;2245
hand_open;2008;2107;2387;2143
hand_open;2016;2066;2280;2296
hand_open;2048;2175;1560;2224
hand_open;2052;2102;2288;2298
hand_open;2208;2131;1878;1919
hand_open;2022;2135;2331;2120
hand_open;2087;2116;2379;2175
hand_open;2101;2063;2304;2328
hand_open;2020;2052;2360;2250
hand_open;1996;2032;2100;2167
hand_open;2100;2212;2415;1983
hand_open;2064;2064;2344;2228
hand_open;1984;2084;2338;2376
hand_open;2263;2138;2368;2048
hand_open;2012;2080;2320;2308
hand_open;2715;2135;1632;2008
hand_open;1996;2127;2322;2431
hand_open;2008;2167;2316;2000
hand_open;1994;2071;2244;2532
hand_open;1952;2160;0;2436
hand_open;2008;2159;2437;2192
hand_open;1986;2064;2360;2128
hand_open;2047;2084;2312;2223
hand_open;2079;2271;2338;2176
hand_open;2048;2112;2362;2340
hand_open;2362;2028;2248;2134
hand_open;2016;2334;2303;2267
hand_open;2251;2144;1288;2411
hand_open;2047;2062;2364;2080
hand_open;1983;2175;2343;2192
hand_open;2016;2088;2322;2074
hand_open;1992;2104;448;2168
hand_open;2768;2199;2272;2384
hand_open;2879;2043;512;2151
