## File generated by myo_cap software 
## Available from github.com/ddantas/leap_cap 
## Timestamp: 2022-05-05_16-15-16 
##  
## EMG capture settings 
##  
# sampleRate: 1000 
# channelsPerBoard: 4 
# nBoards: 1 
# bitsPerSample: 12 
# swipe: 2000 
# vTick: 0.5 
# hTick: 200 
# vMin: 0.0 
# vMax: 3.3 
##  
## EMG emulation settings 
##  
# emulationFlag: true 
# emulationData: 2018-05-04_14-39-15.csv 
##  
## EMG communication settings 
##  
# baudrate: 921600 
# pktSize: 48 
# pktComp: 1 
##  
## EMG function generator settings 
##  
# funcGenFreq: 4 
# stressTime: 8 
##  
## Gesture capture settings 
##  
# device: None 
# routine: 13_fingers_curl.csv 
# hand: Right 
##  
## Data 
gesture;ch0;ch1;ch2;ch3
hand_open;2175;2132;2304;2128
hand_open;2160;2061;2291;2160
hand_open;2024;2048;2320;2247
hand_open;2155;2303;895;2367
hand_open;2151;2087;2284;1248
hand_open;2092;2056;2298;2143
hand_open;2030;2080;2266;2212
hand_open;2064;2074;866;2167
hand_open;2076;2047;2079;1815
hand_open;2171;2511;159;2251
hand_open;2135;2133;2232;1981
hand_open;2104;2152;0;2380
hand_open;2064;2008;2116;2232
hand_open;2116;2368;1128;1552
hand_open;2080;2052;2346;2199
hand_open;2088;2159;2356;2098
hand_open;2111;2143;2363;1906
hand_open;2084;2080;2232;2226
hand_open;2067;2079;2372;2467
hand_open;2048;2080;2212;2167
hand_open;2048;2404;2304;2130
hand_open;2048;2056;588;1401
hand_open;2068;2184;2304;2327
hand_open;2143;2048;2264;2176
hand_open;2073;2084;1231;2080
hand_open;2139;2096;2351;2080
hand_open;2134;2114;2367;2375
hand_open;2123;2040;574;2535
hand_open;2111;2111;2303;1919
hand_open;2096;2112;2320;2391
hand_open;2084;2071;2359;2441
hand_open;2066;2048;2355;2327
hand_open;2065;2080;2349;2159
hand_open;2139;2111;2331;1920
hand_open;2101;2231;2265;2260
hand_open;2072;2048;560;1636
hand_open;2135;2048;616;1981
hand_open;2080;2048;2282;2016
hand_open;2112;2188;2324;2032
hand_open;2168;2306;2087;2027
hand_open;2064;2111;2203;2290
hand_open;2074;2123;2317;2098
hand_open;2048;2113;2379;2199
hand_open;2060;2511;2299;2164
hand_open;2239;2343;565;2046
hand_open;2135;2111;0;2372
hand_open;2016;2053;184;2287
hand_open;2092;2116;2273;2237
hand_open;2100;2163;2272;2143
hand_open;2129;2090;2317;2148
hand_open;2128;2173;2340;2356
hand_open;2128;2064;2273;2175
hand_open;2090;2056;2332;1943
hand_open;2103;2199;2212;2285
hand_open;2022;2020;395;2008
hand_open;2072;2098;1951;2170
hand_open;2157;2048;2352;2136
hand_open;2064;2010;2272;2367
hand_open;2064;2321;2316;2351
hand_open;2111;2223;815;2028
hand_open;2036;2124;1723;2400
hand_open;2104;2056;2233;2383
hand_open;2141;2143;2327;2272
hand_open;2111;2078;2258;1432
hand_open;2080;2117;2276;2127
hand_open;2104;2111;2335;2279
hand_open;2123;2432;2258;2227
hand_open;2079;2167;1423;2479
hand_open;2187;2104;2271;1215
hand_open;2107;2016;2224;1680
hand_open;2052;2488;2270;2159
hand_open;2153;2119;2276;2048
hand_open;2216;2087;2357;1864
hand_open;2032;2090;2319;2149
hand_open;2069;2048;2273;2032
hand_open;2143;2128;1632;2056
hand_open;2167;2168;2290;2216
hand_open;2127;2088;2263;2316
