gesture;ch0;ch1;ch2;ch3
hand_open;2064;2120;2292;2125
hand_open;2116;2064;2208;1836
hand_open;2108;2088;2249;1878
hand_open;2096;2184;2140;1380
hand_open;2095;2008;2251;2296
hand_open;2072;2028;1359;2304
hand_open;2167;2080;2288;1138
hand_open;2068;2012;2347;2302
hand_open;2064;2043;2328;2069
hand_open;2088;2060;2247;1944
hand_open;2100;2031;2271;2304
hand_open;2088;2111;927;1850
hand_open;2151;2074;1267;2104
hand_open;2084;2048;639;2080
hand_open;2064;2160;2296;2032
hand_open;2128;2245;2048;1920
hand_open;2067;2120;2256;2096
hand_open;2093;2159;2383;2293
hand_open;2096;1988;2280;1928
hand_open;2239;2136;0;2431
hand_open;2119;2027;2304;2100
hand_open;2098;2091;2335;2208
hand_open;2072;2143;2327;2256
hand_open;2080;2107;2221;2184
hand_open;2135;2143;2359;2381
hand_open;2080;2367;703;2255
hand_open;2124;2068;2356;1986
hand_open;2143;2350;2228;2176
hand_open;2048;2116;2314;1956
hand_open;2080;2296;1800;2095
hand_open;2141;2139;2304;2277
hand_open;2088;2135;2335;2151
hand_open;2098;2060;2272;2303
hand_open;2064;2064;1832;2186
hand_open;2143;2112;2256;2175
hand_open;2127;2047;2268;1728
hand_open;2068;2016;2040;1152
hand_open;2066;1984;2296;2137
hand_open;2085;2078;2297;2185
hand_open;2129;2381;2321;2076
hand_open;2065;2028;2272;2235
hand_open;2072;2064;2288;2112
hand_open;2133;1974;2296;2090
hand_open;2116;2000;1957;2107
hand_open;2127;2131;2367;2100
hand_open;2064;2047;2304;2027
hand_open;2103;2079;2351;2116
hand_open;2159;2423;1508;2088
hand_open;2133;2240;2151;2272
hand_open;2143;2091;2344;2367
hand_open;2080;2052;1352;2281
hand_open;2123;1974;1815;2248
hand_open;2096;2288;2240;2208
hand_open;2072;2240;1608;2056
hand_open;2103;2141;2327;2155
hand_open;2141;2140;2261;1200
hand_open;2119;1984;2304;2193
hand_open;2151;2095;2379;2144
hand_open;2095;2151;491;2357
hand_open;2135;2079;2371;2335
hand_open;2056;2052;2232;2047
hand_open;2004;2176;64;2367
hand_open;2111;2013;2100;2304
hand_open;2108;2100;2304;2168
hand_open;2080;2037;1599;2235
hand_open;2064;2086;2280;2092
hand_open;2079;2081;2292;2128
hand_open;2056;2024;2326;1976
hand_open;2072;2319;2367;2208
hand_open;2088;2127;1920;1976
hand_open;2080;2064;2379;2287
hand_open;2111;2165;2415;2157
hand_open;2072;2304;2383;2128
hand_open;2151;2091;2303;1928
hand_open;2072;2016;784;2103
hand_open;2066;2032;1952;2240
hand_open;2068;2056;2288;1560
hand_open;2064;2068;1712;1455
hand_open;2597;2017;2291;2269
hand_open;2080;2104;1821;2080
hand_open;2080;2103;2096;2215
hand_open;2112;2127;2335;2241
hand_open;2068;2159;2280;2112
hand_open;2119;2088;925;2191
hand_open;2167;2065;2336;2380
hand_open;2135;2192;511;2191
hand_open;2148;2087;2248;2239
hand_open;2119;2141;2369;2194
hand_open;2072;2120;2264;2285
hand_open;2143;2116;2220;2216
hand_open;2060;2088;2304;2068
hand_open;2159;2215;2336;2232
hand_open;2128;2032;2096;2303
hand_open;2109;2103;2351;2415
hand_open;2213;2007;0;2112
hand_open;2008;2064;2304;2272
hand_open;2064;2215;2327;2228
hand_open;2072;2088;2295;2242
hand_open;2109;2096;2354;2159
hand_open;2084;2499;2272;2231
hand_open;2141;2096;336;2128
hand_open;2064;2328;336;2000
hand_open;2064;2140;2240;2266
hand_open;2097;2015;200;2271
hand_open;2104;2175;2282;2362
hand_open;2159;2051;1780;2316
hand_open;2096;2126;2395;2130
hand_open;2060;2032;2329;2148
hand_open;2127;2048;2304;2092
hand_open;2060;2087;2304;2120
hand_open;2088;2088;2164;1632
hand_open;2581;2129;2306;1984
hand_open;2143;2199;2308;2030
hand_open;2119;2070;2328;2025
hand_open;2068;2104;2272;1204
hand_open;2111;2039;2327;2263
hand_open;2159;2125;2303;2123
hand_open;2084;2144;2368;2427
hand_open;2148;2111;463;1323
hand_open;1942;2092;2271;2272
hand_open;2288;2391;988;2148
hand_open;2080;2032;2314;1684
hand_open;2127;2152;2407;2250
hand_open;2143;2048;2328;2084
hand_open;2153;2491;2376;2104
hand_open;2088;2226;1719;2128
hand_open;2074;2197;2357;1469
hand_open;2102;2089;2415;1928
hand_open;2159;2104;2052;2117
hand_open;2131;2143;2384;2260
