time,gesture,ch0,ch1,ch2,ch3,mean
1088,hand_flex_curl,2056,2032,2368,2344,2200.0
1089,hand_flex_curl,2088,2221,379,2279,1741.75
1090,hand_flex_curl,2143,2008,2359,2335,2211.25
1091,hand_flex_curl,2159,2063,2326,2227,2193.75
1092,hand_flex_curl,2143,2160,2407,2336,2261.5
1093,hand_flex_curl,2074,2183,2312,2276,2211.25
1094,hand_flex_curl,2165,2169,2383,2072,2197.25
1095,hand_flex_curl,2064,2180,2031,2439,2178.5
1096,hand_flex_curl,2092,2125,2313,2068,2149.5
1097,hand_flex_curl,2080,2048,2349,2251,2182.0
1098,hand_flex_curl,2143,2077,2315,2243,2194.5
1099,hand_flex_curl,2080,2244,2399,2088,2202.75
1100,hand_flex_curl,2120,2055,2359,1375,1977.25
1101,hand_flex_curl,2111,2480,1848,2455,2223.5
1102,hand_flex_curl,2138,1984,0,2188,1577.5
1103,hand_flex_curl,2332,2219,2421,2388,2340.0
1104,hand_flex_curl,2080,2032,715,2148,1743.75
1105,hand_flex_curl,2068,2020,2340,2216,2161.0
1106,hand_flex_curl,2127,2375,2328,2237,2266.75
1107,hand_flex_curl,2096,2095,2324,2015,2132.5
1108,hand_flex_curl,2122,2008,2304,2399,2208.25
1109,hand_flex_curl,2093,2064,2248,1677,2020.5
1110,hand_flex_curl,2082,2187,2340,343,1738.0
1111,hand_flex_curl,2071,2002,1776,2225,2018.5
1112,hand_flex_curl,2097,2096,2399,2207,2199.75
1113,hand_flex_curl,2082,2047,2395,2170,2173.5
1114,hand_flex_curl,2059,2114,2335,2152,2165.0
1115,hand_flex_curl,2143,2107,2352,2240,2210.5
1116,hand_flex_curl,2117,2096,2359,2300,2218.0
1117,hand_flex_curl,2060,2079,2368,2352,2214.75
1118,hand_flex_curl,2125,2064,361,1883,1608.25
1119,hand_flex_curl,2119,2152,1780,2075,2031.5
1120,hand_flex_curl,2149,2132,2391,2283,2238.75
1121,hand_flex_curl,2056,2105,2492,2189,2210.5
1122,hand_flex_curl,2132,2103,1984,2253,2118.0
1123,hand_flex_curl,2089,2064,2359,2263,2193.75
1124,hand_flex_curl,2132,2088,2161,2191,2143.0
1125,hand_flex_curl,2072,2451,2320,2207,2262.5
1126,hand_flex_curl,2153,2127,2311,1911,2125.5
1127,hand_flex_curl,2072,2962,2308,2297,2409.75
1128,hand_flex_curl,2096,2125,2379,2175,2193.75
1129,hand_flex_curl,2068,2008,2390,2121,2146.75
1130,hand_flex_curl,2132,2320,2413,1247,2028.0
1131,hand_flex_curl,2120,2048,2328,2322,2204.5
1132,hand_flex_curl,2175,2079,337,2359,1737.5
1133,hand_flex_curl,2116,2022,2413,2216,2191.75
1134,hand_flex_curl,2095,2128,1733,2064,2005.0
1135,hand_flex_curl,2141,2779,2340,1904,2291.0
1136,hand_flex_curl,2100,2043,2337,2271,2187.75
1137,hand_flex_curl,2072,2175,2393,2143,2195.75
1138,hand_flex_curl,2143,2112,2341,2048,2161.0
1139,hand_flex_curl,2064,2047,1487,2140,1934.5
1140,hand_flex_curl,2092,2115,2447,2104,2189.5
1141,hand_flex_curl,2064,2103,2292,2208,2166.75
1142,hand_flex_curl,2143,2011,384,2303,1710.25
1143,hand_flex_curl,2165,2040,896,1261,1590.5
