time,gesture,ch0,ch1,ch2,ch3,mean
0,hand_open,2064,2120,2292,2125,2150.25
1,hand_open,2116,2064,2208,1836,2056.0
2,hand_open,2108,2088,2249,1878,2080.75
3,hand_open,2096,2184,2140,1380,1950.0
4,hand_open,2095,2008,2251,2296,2162.5
5,hand_open,2072,2028,1359,2304,1940.75
6,hand_open,2167,2080,2288,1138,1918.25
7,hand_open,2068,2012,2347,2302,2182.25
8,hand_open,2064,2043,2328,2069,2126.0
9,hand_open,2088,2060,2247,1944,2084.75
10,hand_open,2100,2031,2271,2304,2176.5
11,hand_open,2088,2111,927,1850,1744.0
12,hand_open,2151,2074,1267,2104,1899.0
13,hand_open,2084,2048,639,2080,1712.75
14,hand_open,2064,2160,2296,2032,2138.0
15,hand_open,2128,2245,2048,1920,2085.25
16,hand_open,2067,2120,2256,2096,2134.75
17,hand_open,2093,2159,2383,2293,2232.0
18,hand_open,2096,1988,2280,1928,2073.0
19,hand_open,2239,2136,0,2431,1701.5
20,hand_open,2119,2027,2304,2100,2137.5
21,hand_open,2098,2091,2335,2208,2183.0
22,hand_open,2072,2143,2327,2256,2199.5
23,hand_open,2080,2107,2221,2184,2148.0
24,hand_open,2135,2143,2359,2381,2254.5
25,hand_open,2080,2367,703,2255,1851.25
26,hand_open,2124,2068,2356,1986,2133.5
27,hand_open,2143,2350,2228,2176,2224.25
28,hand_open,2048,2116,2314,1956,2108.5
29,hand_open,2080,2296,1800,2095,2067.75
30,hand_open,2141,2139,2304,2277,2215.25
31,hand_open,2088,2135,2335,2151,2177.25
32,hand_open,2098,2060,2272,2303,2183.25
33,hand_open,2064,2064,1832,2186,2036.5
34,hand_open,2143,2112,2256,2175,2171.5
35,hand_open,2127,2047,2268,1728,2042.5
36,hand_open,2068,2016,2040,1152,1819.0
37,hand_open,2066,1984,2296,2137,2120.75
38,hand_open,2085,2078,2297,2185,2161.25
39,hand_open,2129,2381,2321,2076,2226.75
40,hand_open,2065,2028,2272,2235,2150.0
41,hand_open,2072,2064,2288,2112,2134.0
42,hand_open,2133,1974,2296,2090,2123.25
43,hand_open,2116,2000,1957,2107,2045.0
44,hand_open,2127,2131,2367,2100,2181.25
45,hand_open,2064,2047,2304,2027,2110.5
46,hand_open,2103,2079,2351,2116,2162.25
47,hand_open,2159,2423,1508,2088,2044.5
48,hand_open,2133,2240,2151,2272,2199.0
49,hand_open,2143,2091,2344,2367,2236.25
50,hand_open,2080,2052,1352,2281,1941.25
51,hand_open,2123,1974,1815,2248,2040.0
52,hand_open,2096,2288,2240,2208,2208.0
53,hand_open,2072,2240,1608,2056,1994.0
54,hand_open,2103,2141,2327,2155,2181.5
55,hand_open,2141,2140,2261,1200,1935.5
56,hand_open,2119,1984,2304,2193,2150.0
57,hand_open,2151,2095,2379,2144,2192.25
58,hand_open,2095,2151,491,2357,1773.5
59,hand_open,2135,2079,2371,2335,2230.0
60,hand_open,2056,2052,2232,2047,2096.75
61,hand_open,2004,2176,64,2367,1652.75
62,hand_open,2111,2013,2100,2304,2132.0
63,hand_open,2108,2100,2304,2168,2170.0
64,hand_open,2080,2037,1599,2235,1987.75
65,hand_open,2064,2086,2280,2092,2130.5
66,hand_open,2079,2081,2292,2128,2145.0
67,hand_open,2056,2024,2326,1976,2095.5
68,hand_open,2072,2319,2367,2208,2241.5
69,hand_open,2088,2127,1920,1976,2027.75
70,hand_open,2080,2064,2379,2287,2202.5
71,hand_open,2111,2165,2415,2157,2212.0
72,hand_open,2072,2304,2383,2128,2221.75
73,hand_open,2151,2091,2303,1928,2118.25
74,hand_open,2072,2016,784,2103,1743.75
75,hand_open,2066,2032,1952,2240,2072.5
76,hand_open,2068,2056,2288,1560,1993.0
77,hand_open,2064,2068,1712,1455,1824.75
78,hand_open,2597,2017,2291,2269,2293.5
79,hand_open,2080,2104,1821,2080,2021.25
80,hand_open,2080,2103,2096,2215,2123.5
81,hand_open,2112,2127,2335,2241,2203.75
82,hand_open,2068,2159,2280,2112,2154.75
83,hand_open,2119,2088,925,2191,1830.75
84,hand_open,2167,2065,2336,2380,2237.0
85,hand_open,2135,2192,511,2191,1757.25
86,hand_open,2148,2087,2248,2239,2180.5
87,hand_open,2119,2141,2369,2194,2205.75
88,hand_open,2072,2120,2264,2285,2185.25
89,hand_open,2143,2116,2220,2216,2173.75
90,hand_open,2060,2088,2304,2068,2130.0
91,hand_open,2159,2215,2336,2232,2235.5
92,hand_open,2128,2032,2096,2303,2139.75
93,hand_open,2109,2103,2351,2415,2244.5
94,hand_open,2213,2007,0,2112,1583.0
95,hand_open,2008,2064,2304,2272,2162.0
96,hand_open,2064,2215,2327,2228,2208.5
97,hand_open,2072,2088,2295,2242,2174.25
98,hand_open,2109,2096,2354,2159,2179.5
